obs,BatID,species,type,se_value,MID,IID,dif
O1,1,V. vulturnus,left,0.03,1O1left,1,0.10000000000000142
O1,1,V. vulturnus,right,0.03,1O1right,2,-0.20000000000000284
O2,1,V. vulturnus,left,0.03,1O2left,3,0
O2,1,V. vulturnus,right,0.03,1O2right,4,-0.10000000000000142
O3,1,V. vulturnus,left,0.03,1O3left,5,0.1999999999999993
O3,1,V. vulturnus,right,0.03,1O3right,6,-0.3000000000000007
O1,2,V. vulturnus,left,0.03,2O1left,7,-0.3999999999999986
O1,2,V. vulturnus,right,0.03,2O1right,8,-0.40000000000000213
O2,2,V. vulturnus,left,0.03,2O2left,9,0
O2,2,V. vulturnus,right,0.03,2O2right,10,-0.10000000000000142
O3,2,V. vulturnus,left,0.03,2O3left,11,0
O3,2,V. vulturnus,right,0.03,2O3right,12,-0.10000000000000142
O1,3,V. vulturnus,left,0.03,3O1left,13,-0.8999999999999986
O1,3,V. vulturnus,right,0.03,3O1right,14,0
O2,3,V. vulturnus,left,0.03,3O2left,15,0.10000000000000142
O2,3,V. vulturnus,right,0.03,3O2right,16,0
O3,3,V. vulturnus,left,0.03,3O3left,17,0
O3,3,V. vulturnus,right,0.03,3O3right,18,0
O1,4,V. vulturnus,left,0.03,4O1left,19,-1
O1,4,V. vulturnus,right,0.03,4O1right,20,0.09999999999999787
O2,4,V. vulturnus,left,0.03,4O2left,21,0
O2,4,V. vulturnus,right,0.03,4O2right,22,0.10000000000000142
O3,4,V. vulturnus,left,0.03,4O3left,23,0.1999999999999993
O3,4,V. vulturnus,right,0.03,4O3right,24,0
O1,5,V. vulturnus,left,0.03,5O1left,25,0
O1,5,V. vulturnus,right,0.03,5O1right,26,0.3000000000000007
O2,5,V. vulturnus,left,0.03,5O2left,27,0.10000000000000142
O2,5,V. vulturnus,right,0.03,5O2right,28,0.10000000000000142
O3,5,V. vulturnus,left,0.03,5O3left,29,-0.1999999999999993
O3,5,V. vulturnus,right,0.03,5O3right,30,-0.1999999999999993
O1,6,V. vulturnus,left,0.03,6O1left,31,0
O1,6,V. vulturnus,right,0.03,6O1right,32,0
O2,6,V. vulturnus,left,0.03,6O2left,33,0
O2,6,V. vulturnus,right,0.03,6O2right,34,-0.1999999999999993
O3,6,V. vulturnus,left,0.03,6O3left,35,0.1999999999999993
O3,6,V. vulturnus,right,0.03,6O3right,36,0.10000000000000142
O1,7,V. vulturnus,left,0.03,7O1left,37,0.40000000000000213
O1,7,V. vulturnus,right,0.03,7O1right,38,0.09999999999999787
O2,7,V. vulturnus,left,0.03,7O2left,39,0
O2,7,V. vulturnus,right,0.03,7O2right,40,0
O3,7,V. vulturnus,left,0.03,7O3left,41,0
O3,7,V. vulturnus,right,0.03,7O3right,42,0.1999999999999993
O1,8,V. vulturnus,left,0.03,8O1left,43,0.10000000000000142
O1,8,V. vulturnus,right,0.03,8O1right,44,0
O2,8,V. vulturnus,left,0.03,8O2left,45,-0.1999999999999993
O2,8,V. vulturnus,right,0.03,8O2right,46,0
O3,8,V. vulturnus,left,0.03,8O3left,47,-0.09999999999999787
O3,8,V. vulturnus,right,0.03,8O3right,48,0
O1,9,V. vulturnus,left,0.03,9O1left,49,-0.09999999999999787
O1,9,V. vulturnus,right,0.03,9O1right,50,0.3000000000000007
O2,9,V. vulturnus,left,0.03,9O2left,51,0.10000000000000142
O2,9,V. vulturnus,right,0.03,9O2right,52,0
O3,9,V. vulturnus,left,0.03,9O3left,53,0
O3,9,V. vulturnus,right,0.03,9O3right,54,0.1999999999999993
O1,10,V. vulturnus,left,0.03,10O1left,55,0.1999999999999993
O1,10,V. vulturnus,right,0.03,10O1right,56,0.09999999999999787
O2,10,V. vulturnus,left,0.03,10O2left,57,0.10000000000000142
O2,10,V. vulturnus,right,0.03,10O2right,58,-0.1999999999999993
O3,10,V. vulturnus,left,0.03,10O3left,59,-0.1999999999999993
O3,10,V. vulturnus,right,0.03,10O3right,60,0.10000000000000142
O1,11,V. vulturnus,left,0.03,11O1left,61,0.1999999999999993
O1,11,V. vulturnus,right,0.03,11O1right,62,0.10000000000000142
O2,11,V. vulturnus,left,0.03,11O2left,63,0.10000000000000142
O2,11,V. vulturnus,right,0.03,11O2right,64,-0.09999999999999787
O3,11,V. vulturnus,left,0.03,11O3left,65,0.1999999999999993
O3,11,V. vulturnus,right,0.03,11O3right,66,0
O1,12,V. vulturnus,left,0.03,12O1left,67,0.1999999999999993
O1,12,V. vulturnus,right,0.03,12O1right,68,0
O2,12,V. vulturnus,left,0.03,12O2left,69,0
O2,12,V. vulturnus,right,0.03,12O2right,70,0
O3,12,V. vulturnus,left,0.03,12O3left,71,0
O3,12,V. vulturnus,right,0.03,12O3right,72,-0.3000000000000007
O1,13,V. vulturnus,left,0.03,13O1left,73,0
O1,13,V. vulturnus,right,0.03,13O1right,74,-0.1999999999999993
O2,13,V. vulturnus,left,0.03,13O2left,75,0.10000000000000142
O2,13,V. vulturnus,right,0.03,13O2right,76,-0.09999999999999787
O3,13,V. vulturnus,left,0.03,13O3left,77,0
