species,value,sd_val,Sex,sd1
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus darlingtoni,34.9,0.03,F,0.28
Vespadelus darlingtoni,36.8,0.03,F,0.28
Vespadelus darlingtoni,36.4,0.03,F,0.28
Vespadelus darlingtoni,35.1,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus darlingtoni,35.3,0.03,F,0.28
Vespadelus darlingtoni,37.4,0.03,F,0.28
Vespadelus darlingtoni,35.1,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus darlingtoni,35.5,0.03,F,0.28
Vespadelus regulus,32.7,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus darlingtoni,35.2,0.03,F,0.28
Vespadelus darlingtoni,35.1,0.03,F,0.28
Vespadelus darlingtoni,35.2,0.03,F,0.28
Vespadelus darlingtoni,35.5,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus darlingtoni,35.9,0.03,F,0.28
Vespadelus darlingtoni,34.3,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus darlingtoni,36.4,0.03,F,0.28
Vespadelus darlingtoni,33.8,0.03,F,0.28
Vespadelus darlingtoni,36,0.03,F,0.28
Vespadelus darlingtoni,37.8,0.03,F,0.28
Vespadelus darlingtoni,35.2,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus darlingtoni,35.8,0.03,F,0.28
Vespadelus darlingtoni,36.5,0.03,F,0.28
Vespadelus darlingtoni,34.9,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus darlingtoni,35.5,0.03,F,0.28
Vespadelus vulturnus,29.5,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus darlingtoni,34.1,0.03,F,0.28
Vespadelus darlingtoni,34.3,0.03,F,0.28
Vespadelus darlingtoni,35.2,0.03,F,0.28
Vespadelus darlingtoni,36,0.03,F,0.28
Vespadelus regulus,32.7,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus darlingtoni,35.7,0.03,F,0.28
Vespadelus darlingtoni,34.8,0.03,F,0.28
Vespadelus darlingtoni,34.1,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus darlingtoni,35.3,0.03,F,0.28
Vespadelus darlingtoni,34.6,0.03,F,0.28
Vespadelus regulus,31.5,0.03,F,0.28
Vespadelus regulus,32.3,0.03,F,0.28
Vespadelus darlingtoni,35.1,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus darlingtoni,36.2,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus regulus,34.5,0.03,F,0.28
Vespadelus darlingtoni,34.6,0.03,F,0.28
Vespadelus darlingtoni,34.5,0.03,F,0.28
Vespadelus regulus,34.7,0.03,F,0.28
Vespadelus darlingtoni,36.2,0.03,F,0.28
Vespadelus darlingtoni,35.9,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus darlingtoni,34.9,0.03,F,0.28
Vespadelus regulus,32.4,0.03,F,0.28
Vespadelus regulus,32,0.03,F,0.28
Vespadelus darlingtoni,34.4,0.03,F,0.28
Vespadelus darlingtoni,35.3,0.03,F,0.28
Vespadelus regulus,33.4,0.03,F,0.28
Vespadelus darlingtoni,36.1,0.03,F,0.28
Vespadelus darlingtoni,36,0.03,F,0.28
Vespadelus vulturnus,28.6,0.03,F,0.28
Vespadelus darlingtoni,36.5,0.03,F,0.28
Vespadelus darlingtoni,35.7,0.03,F,0.28
Vespadelus regulus,32.8,0.03,F,0.28
Vespadelus darlingtoni,34.5,0.03,F,0.28
Vespadelus darlingtoni,33.4,0.03,F,0.28
Vespadelus darlingtoni,36.7,0.03,F,0.28
Vespadelus darlingtoni,36.2,0.03,F,0.28
Vespadelus darlingtoni,34.1,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus darlingtoni,34.6,0.03,F,0.28
Vespadelus darlingtoni,35.2,0.03,F,0.28
Vespadelus darlingtoni,35.2,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus regulus,32.3,0.03,F,0.28
Vespadelus darlingtoni,35.1,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus darlingtoni,34,0.03,F,0.28
Vespadelus darlingtoni,35.5,0.03,F,0.28
Vespadelus darlingtoni,33.7,0.03,F,0.28
Vespadelus darlingtoni,35.5,0.03,F,0.28
Vespadelus darlingtoni,35.2,0.03,F,0.28
Vespadelus darlingtoni,36,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus darlingtoni,35.9,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus regulus,33.2,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus darlingtoni,36,0.03,F,0.28
Vespadelus darlingtoni,35.6,0.03,F,0.28
Vespadelus darlingtoni,35.6,0.03,F,0.28
Vespadelus darlingtoni,35.6,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus darlingtoni,34.9,0.03,F,0.28
Vespadelus darlingtoni,35.6,0.03,F,0.28
Vespadelus vulturnus,29.7,0.03,F,0.28
Vespadelus darlingtoni,34.3,0.03,F,0.28
Vespadelus regulus,31.8,0.03,F,0.28
Vespadelus vulturnus,29.5,0.03,F,0.28
Vespadelus regulus,32.8,0.03,F,0.28
Vespadelus regulus,31.9,0.03,F,0.28
Vespadelus regulus,33.3,0.03,F,0.28
Vespadelus regulus,32,0.03,F,0.28
Vespadelus darlingtoni,35.2,0.03,F,0.28
Vespadelus regulus,32.7,0.03,F,0.28
